var,name,memo
B003000000,基本每股收益, eps
C001000000,经营活动产生的现金流量净额, 经营活动产生的现金流入与经营活动产生的现金流出之差额
C002000000,投资活动产生的现金流量净额, 投资活动产生的现金流入与投资活动产生的现金流出之差额
C003000000,筹资活动产生的现金流量净额, 筹资活动产生的现金流入与筹资活动产生的现金流出之差额
D000102000,资产减值准备, 企业本期计提的各项资产的减值准备
D000103000,固定资产折旧油气资产折耗生产性生物资产折旧,
S0702b,实际控制人性质, 详细分类见说明书附录二的“企业关系人性质分类标准
Stktype,股票类型, ABH
Crcd,A除B除H股交叉码, 指该公司发行的其他证券代码，以交易所公布的证券代码为准
ViolationID,违规事件ID, 程序生成
Symbol,证券代码, cd
ViolationYear,违规年度, 实际违规的年份
